Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,sax,as,group
P204,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,4,Group: 10
P361,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P338,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P396,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P569,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,1,Group: 10
P206,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P591,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,8,Group: 10
P390,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,2,Group: 10
P813,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,4,Group: 10
P686,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P345,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,8,Group: 10
P816,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,5,Group: 10
P701,[0|6],[0|4],[0|4],[0|5],[0|7],[0|4],[0|6],[0|6],[0|4],[1|6],[0|6],[1|7],[0|3],[0|5],[0|5],[0|7],[1|5],[0|7],[1|6],[0|6],[0|6],[0|6],[1|7],[1|9],[0|7],[1|9],[0|5],[0|5],[0|4],[0|4],[0|4],[0|4],[0|4],[0|4],[0|6],[0|5],[1|5],[0|5],[1|5],[0|6],[0|7],[1|7],[0|6],[0|7],[0|10],[1|5],[1|6],[0|8],[0|6],[1|6],[0|9],aaaaaa,6,Group: 10
P351,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P259,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P646,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P761,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P594,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,4,Group: 11
P455,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P713,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,0,Group: 11
P575,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,2,Group: 11
P610,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,5,Group: 11
P454,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,1,Group: 11
P371,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,3,Group: 11
P609,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,9,Group: 11
P219,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,1,Group: 11
P156,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,4,Group: 11
P388,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,4,Group: 11
P732,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,5,Group: 11
P476,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,4,Group: 11
P277,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,1,Group: 11
P766,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,2,Group: 11
P642,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,5,Group: 11
P786,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,2,Group: 11
P483,[0|6],[0|4],[0|6],[0|6],[0|8],[0|8],[0|11],[0|4],[0|5],[0|6],[0|5],[0|9],[0|5],[0|6],[0|7],[0|9],[0|6],[0|5],[0|5],[0|7],[0|5],[0|5],[0|9],[0|9],[0|10],[0|7],[0|4],[0|6],[0|6],[0|5],[0|6],[0|4],[0|7],[0|4],[0|5],[0|3],[0|3],[0|5],[0|4],[0|5],[0|6],[0|3],[0|5],[0|6],[0|4],[0|5],[0|4],[0|7],[0|6],[0|8],[0|6],aaaaaa,2,Group: 11
P321,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,3,Group: 12
P323,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,4,Group: 12
P308,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,2,Group: 12
P805,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,3,Group: 12
P787,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,7,Group: 12
P336,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,4,Group: 12
P590,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,8,Group: 12
P365,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,7,Group: 12
P155,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,5,Group: 12
P789,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,8,Group: 12
P199,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,2,Group: 12
P595,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,3,Group: 12
P271,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,5,Group: 12
P12,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,3,Group: 12
P691,[0|7],[0|7],[0|8],[0|6],[0|6],[0|8],[0|8],[0|7],[0|5],[0|5],[0|5],[0|11],[0|9],[0|9],[0|9],[0|6],[0|10],[0|6],[0|10],[0|10],[0|8],[0|8],[0|9],[0|8],[0|9],[0|8],[0|4],[0|5],[0|10],[0|5],[0|8],[0|5],[0|6],[0|6],[0|5],[0|5],[0|8],[0|7],[0|9],[0|6],[0|7],[0|6],[0|6],[0|5],[0|7],[1|7],[0|7],[0|10],[0|8],[0|8],[0|7],aaaaaa,1,Group: 12
